County,District,Clan,Town/Village,Total,Male,Female,Households
Lofa,Salayea,Palama,Ganglota,1091,529,562,200
Lofa,Salayea,Palama,Salayea,3768,1851,1917,633
Lofa,Salayea,Palama,Tinsue,743,366,377,145
Lofa,Salayea,Vavala,Gbanway,661,298,363,115
Lofa,Salayea,Vavala,Kpayea,929,440,489,169
Lofa,Salayea,Vavala,Kpayea,1021,503,518,205
Lofa,Salayea,Vavala,Sucromu,582,277,305,110
Lofa,Salayea,Vavala,Sucromu,703,319,384,149
Lofa,Salayea,Vavala,Sucromu,713,346,367,152
Lofa,Salayea,Vavala,Tailemai,759,356,403,124
Lofa,Salayea,Vavala,Yarpuah,635,283,352,111
Lofa,Salayea,Vavala,Yarpuah,865,351,514,130
Lofa,Salayea,Vavala,Yarwobah Village,868,418,450,159
Lofa,Vahun,Central Guma,Hengima,1565,791,774,196
Lofa,Vahun,Central Guma,Vahun,7284,3602,3682,993
Lofa,Vahun,Lower Guma,Gbajobu,606,320,286,72
Lofa,Vahun,Lower Guma,Nyeyama,648,340,308,71
Lofa,Vahun,Upper Guma,Koyama,1322,634,688,143
Lofa,Vahun,Upper Guma,Memolahun,1208,618,590,129
Lofa,Voinjama,Bondi,Dayzabah,527,240,287,121
Lofa,Voinjama,Bondi,Lutisu Town Center,505,212,293,97
Lofa,Voinjama,Lower Workor,Vezala,787,370,417,155
Lofa,Voinjama,Lower Workor,Zawordamai,677,336,341,133
Lofa,Voinjama,Upper Workor,Bazagizia,505,258,247,99
Lofa,Voinjama,Upper Workor,Betejama,764,351,413,129
Lofa,Voinjama,Upper Workor,Kogbemai,918,454,464,150
Lofa,Voinjama,Upper Workor,L.P.M.C Camp,552,260,292,113
Lofa,Voinjama,Upper Workor,Lawalazu,1844,861,983,322
Lofa,Voinjama,Upper Workor,Malamai,613,268,345,141
Lofa,Voinjama,Upper Workor,Selega,626,301,325,123
Lofa,Voinjama,Upper Workor,Tobogizizu,768,374,394,126
Lofa,Voinjama,Upper Workor,Voinjama,15269,7609,7660,3301
Lofa,Zorzor,Gizima,Fissibu,2176,979,1197,436
Lofa,Zorzor,Gizima,Kilewu,553,281,272,119
Lofa,Zorzor,Gizima,Passama,627,320,307,121
Lofa,Zorzor,Gizima,Zolowu,1699,802,897,334
Lofa,Zorzor,Gizima,Zorzor,5577,2729,2848,1175
Lofa,Zorzor,Zeayeama,Boi,1706,784,922,341
Lofa,Zorzor,Zeayeama,Borkeza,3227,1500,1727,682
Lofa,Zorzor,Zeayeama,Konia,1329,1499,1630,596
Lofa,Zorzor,Zeayeama,Kpassagizia,726,332,394,157
Lofa,Zorzor,Zeayeama,Nekeba,1117,551,566,227
Lofa,Zorzor,Zeayeama,Wakesu,1032,473,559,255
Lofa,Zorzor,Zeayeama,Ziggida,1886,861,1025,397
Margibi,Firestone,Cotton Tree,Cotton Tree,35110,17684,17426,6172
Margibi,Firestone,Firestone,Division 1,1544,775,769,293
Margibi,Firestone,Firestone,Division 1 Cross Camp,1101,555,546,191
Margibi,Firestone,Firestone,Division 16 long Camp/School,513,260,253,87
Margibi,Firestone,Firestone,Division 23,656,328,328,100
Margibi,Firestone,Firestone,Division 27,786,392,394,140
Margibi,Firestone,Firestone,Division 28 Cubic Camp 1,581,304,277,147
Margibi,Firestone,Firestone,Division 28 Cubic Camp 1,762,362,400,109
Margibi,Firestone,Firestone,Division 28 Cubic Camp 1,1006,509,497,179
Margibi,Firestone,Firestone,Division 29 Church,598,301,297,95
Margibi,Firestone,Firestone,Division 30,914,445,469,165
Margibi,Firestone,Firestone,Division 34,626,328,298,109
Margibi,Firestone,Firestone,Division 37,1232,630,602,190
Margibi,Firestone,Firestone,Division 41,832,444,388,134
Margibi,Firestone,Firestone,Division 42,645,320,325,109
Margibi,Firestone,Firestone,Division 43 Coordinate,1033,517,516,141
Margibi,Firestone,Firestone,Division 44 Pinco Camp,514,272,242,107
Margibi,Firestone,Firestone,Division 5 New Camp,685,360,325,118
Margibi,Firestone,Firestone,Division 6,593,271,322,86
Margibi,Firestone,Firestone,Division 6,775,383,392,135
Margibi,Firestone,Firestone,Division 6 Front,1109,523,586,183
Margibi,Firestone,Firestone,Division 9 Old Camp,757,393,364,146
Margibi,Firestone,Firestone,Division Nusary Camp,987,498,489,181
Margibi,Firestone,Firestone,Duside Village,615,322,293,131
Margibi,Gibi,Gbarfen,Worhn,573,306,267,92
Margibi,Kakata,Dinnita,S. R. C. Camp III,617,321,296,142
Margibi,Kakata,Dinnita,S.R.C. Camp I,1056,587,469,222
Margibi,Kakata,Kakata City 1,Kakata City,34608,16780,17828,7481
Margibi,Kakata,Waymaquelleh,Gwepolosue,517,266,251,128
Margibi,Kakata,Waymaquelleh,Laketa,910,471,439,258
Margibi,Kakata,Wiah,BollorQuelleh,600,297,303,143
Margibi,Kakata,Wiah,Gweemenie,578,301,277,137
Margibi,Kakata,Wiah,Weala,3641,1770,1871,802
Margibi,Mambah Kaba,Charsville,Big Kpaja,708,330,378,174
Margibi,Mambah Kaba,Charsville,Browne,711,356,355,151
Margibi,Mambah Kaba,Charsville,Harbel-Cotton Tree,14227,6871,7356,133
Margibi,Mambah Kaba,Kpaye,Joe Blow,1237,614,623,250
Margibi,Mambah Kaba,Kpaye,Monclay,642,365,277,107
Margibi,Mambah Kaba,Kpaye,Prince Wallace Estate,839,397,442,191
Margibi,Mambah Kaba,Marshall City,Marsital City1,531,267,264,118
Margibi,Mambah Kaba,Marshall City,Viway,545,241,304,104
Margibi,Mambah Kaba,Scheiffelin Township,Boy Town Junction,752,350,402,146
Margibi,Mambah Kaba,Scheiffelin Township,Duazon Old Town,803,410,393,129
Margibi,Mambah Kaba,Scheiffelin Township,Duazon Public,1826,1363,463,597
Margibi,Mambah Kaba,Scheiffelin Township,Schiefflin,906,496,410,188
Margibi,Mambah Kaba,Scheiffelin Township,Via,647,331,316,114
Maryland,Gwelekpoken,Datiaken,Jargeloken,1664,876,788,140
Maryland,Gwelekpoken,Datiaken,Soloken,1171,557,614,82
Maryland,Gwelekpoken,Gbalaken,Chiliken,788,405,383,62
Maryland,Gwelekpoken,Gbalaken,Dugboken,2352,1259,1093,196
Maryland,Gwelekpoken,Sikliken,Glofaken,1101,590,511,112
Maryland,Gwelekpoken,Sikliken,Gwelekpoken,724,421,303,56
Maryland,Gwelekpoken,Sikliken,Newaken,728,445,283,67
Maryland,Gwelekpoken,Wantoken,Big Jay,517,271,246,63
Maryland,Harper,Cavalla,Cavalla Big Town Community,1247,692,555,128
Maryland,Harper,Fish Town,Fish Town,939,486,453,151
Maryland,Harper,Fish Town,Middle Town,598,314,284,91
Maryland,Harper,Harper City,Harper City,24018,12056,11962,3763
Maryland,Harper,Rock Town,Down Town,669,401,268,86
Maryland,Harper,Rock Town,Little Wlebo Mission Town New Town,516,287,229,87
Maryland,Harper,Rock Town,Mission Town,533,257,276,63
Maryland,Harper,Rock Town,Rock Town,1002,618,384,127
Maryland,Harper,Whole Graway,Pullah,525,263,262,88
Maryland,Harper,Whole Graway,Yookudi,511,296,215,84
Maryland,Karluway#1,Gedebo,Karloken,3252,1778,1674,496
Maryland,Karluway#1,Gedebo,Wartiken,965,534,431,148
Maryland,Karluway#1,Nearobo,Gbeaken,522,288,234,89
Maryland,Karluway#2,Benwen,Giant Town,791,489,302,94
Maryland,Karluway#2,Benwen,Henogba,1148,671,477,134
Maryland,Karluway#2,Benwen,Tugbaken,1248,736,512,138
Maryland,Karluway#2,Benwen,Wlowen,900,457,443,129
Maryland,Karluway#2,Kanbo,Boniken,905,463,442,115
Maryland,Karluway#2,Kanbo,Doloken,794,465,329,89
Maryland,Karluway#2,Nyewraken,Nye-wissiken,1052,552,500,125
Maryland,Karluway#2,Nyewraken,Nyewraken,548,313,235,74
Maryland,Karluway#2,Wlebo,Mandu # 2,515,286,229,75
Maryland,Karluway#2,Wlebo,Manolu #1,638,316,322,103
Maryland,Karluway#2,Wlebo,Pounken,1045,603,442,148
Maryland,Karluway#2,Wlebo,Wuluken,1034,520,514,110
Maryland,Karluway#2,Yederobo,Gbon,992,519,473,109
Maryland,Karluway#2,Yederobo,Yedieken,922,505,417,73
Maryland,Nyorken,Farjah,Gbakliken,2362,1239,1123,249
Maryland,Nyorken,Gbitofla-fla,Rock Town,1626,834,792,166
Maryland,Nyorken,Gbitofla-fla,Wutuken,1024,504,520,110
Maryland,Nyorken,Koyo,Mafliken,636,344,292,63
Maryland,Nyorken,Newenken,Gbawiliken Cavalla,2230,1216,1014,251
Maryland,Pleebo/Sodoken,Gedetarbo,Division 1-Old Camp,642,328,314,119
Maryland,Pleebo/Sodoken,Gedetarbo,Division 2-Driver Camp,555,279,276,82
Maryland,Pleebo/Sodoken,Gedetarbo,Division 2-Rubber Bed,708,342,366,145
Maryland,Pleebo/Sodoken,Gedetarbo,Division 4 Palm Camp,628,291,337,82
Maryland,Pleebo/Sodoken,Gedetarbo,Division 5 Camp 8,659,369,290,82
Maryland,Pleebo/Sodoken,Gedetarbo,Division 6 Camp 6,529,281,248,82
Maryland,Pleebo/Sodoken,Pleebo/Gbolorbo,Gebio Mission,706,354,352,125
Maryland,Pleebo/Sodoken,Pleebo/Gbolorbo,Pleebo City,23464,11599,11865,3964
Maryland,Pleebo/Sodoken,Twansiebo,Barraken,805,398,407,133
Maryland,Whojah,Dufu,Geesanken,1547,895,652,150
Maryland,Whojah,Dufu,Juluken # 1,2710,1412,1298,275
Maryland,Whojah,Fulu,Martuken,783,423,360,76
Maryland,Whojah,Ganijah,Gortiken,852,445,407,86
Maryland,Whojah,Wuah,Dwejah,1752,931,821,167
Montserrado,Careysburg,Bensonville City,Bensonville City,3932,2005,1927,856
Montserrado,Careysburg,Careyburg City,Careysburg,10525,5315,5210,2363
Montserrado,Careysburg,Crozierville Township,Central Crozierville,559,294,265,143
Montserrado,Careysburg,Kingsville Township,15 Gate Community,860,426,434,175
Montserrado,Careysburg,Kingsville Township,Central Kingsville,871,439,432,148
Montserrado,Careysburg,Kingsville Township,Division # 16 Long Camp,769,384,385,100
Montserrado,Careysburg,Kingsville Township,Division # 17,641,330,311,90
Montserrado,Careysburg,Kingsville Township,Division 14(New Camp),745,378,367,93
Montserrado,Careysburg,Kingsville Township,Division 16 (Mamo Camp),548,287,261,90
Montserrado,Careysburg,Kingsville Township,Dvision 13 Camp,631,313,318,88
Montserrado,Careysburg,Kingsville Township,Garzon Reccess,645,329,316,114
Montserrado,Careysburg,Kingsville Township,Glee #8,917,457,460,178
Montserrado,Careysburg,Kingsville Township,Mende,585,258,327,118
Montserrado,Careysburg,Kingsville Township,Sandemane Quarter,549,256,293,96
Montserrado,Commonwealth1,Johnsonville Township,Lower Johnson,1484,728,756,266
Montserrado,Commonwealth1,Johnsonville Township,Mount Barclay,1389,627,762,241
Montserrado,Commonwealth1,Johnsonville Township,Tarnue,1169,548,621,233
Montserrado,Commonwealth1,Lousana Township,Jlahzon,525,229,296,92
Montserrado,Greater Monrovia,Monrovia,MONROVIA,1021762,500976,520786,200934
Montserrado,St. Paul River,Gbarteah,Gbarteah,574,289,285,136
Montserrado,St. Paul River,Gbarteah,Gbarteah,600,293,307,135
Montserrado,St. Paul River,Gbarteah,Gbarteah,647,300,347,131
Montserrado,St. Paul River,Gbarteah,Gbarteah,673,333,340,161
Montserrado,St. Paul River,Gbarteah,Gbarteah,776,399,377,141
Montserrado,St. Paul River,Geyway,Geyway,510,251,259,103
Montserrado,St. Paul River,Geyway,Geyway,521,242,279,90
Montserrado,St. Paul River,Geyway,Geyway,552,247,305,107
Montserrado,St. Paul River,Geyway,Geyway,568,275,293,103
Montserrado,St. Paul River,Geyway,Geyway,579,271,308,107 
Montserrado,St. Paul River,Geyway,Geyway,650,330,320,114
Montserrado,St. Paul River,Geyway,Geyway,679,357,322,82
Montserrado,St. Paul River,Geyway,Geyway,694,330,364,141
Montserrado,St. Paul River,Geyway,Geyway,709,327,382,134
Montserrado,St. Paul River,Geyway,Geyway,891,427,464,144
Montserrado,St. Paul River,Geyway,Geyway,939,432,507,140
Montserrado,St. Paul River,Kai,Kai,3006,1471,1435,509
Montserrado,St. Paul River,Kaikpu,Clay Ashland City,3616,1787,1729,872
Montserrado,St. Paul River,Kpalla,Brewerville City,31014,14890,16124,6214
Montserrado,St. Paul River,Mango,Barcon,720,427,293,92
Montserrado,St. Paul River,Mango,Mango,629,315,314,103 
Montserrado,St. Paul River,Moiwah,Arthington City,3848,2005,1843,981
Montserrado,St. Paul River,Zolu,Zolu,3897,1883,2014,686
Montserrado,Todee,Fahn-Seh,Division 19,581,320,261,118
Montserrado,Todee,Fahn-Seh,Dolo,544,264,280,109
Montserrado,Todee,Fahn-Seh,Freeman Reserved,1221,604,617,245
Montserrado,Todee,Fahn-Seh,Gobah,658,353,305,177
Montserrado,Todee,Fahn-Seh,Morris Farm,2376,1132,1244,513
Montserrado,Todee,Fahn-Seh,Subah,577,308,269,114
Montserrado,Todee,Kpo,Zannah,618,302,316,174
Montserrado,Todee,Mehn,Koon,734,366,368,139
Montserrado,Todee,Mount Coffee Township,Zingbor,545,266,279,133
Nimba,Boe & Quilla,Boe,Boe Tounwea,693,339,354,148
Nimba,Boe & Quilla,Boe,Bonglay,1232,604,628,228
Nimba,Boe & Quilla,Gosenter,Gbarplay,1292,635,657,210
Nimba,Boe & Quilla,Gosenter,Lorplay,1750,861,889,347
Nimba,Boe & Quilla,Gosenter,Sankarplay,637,338,299,147
Nimba,Boe & Quilla,Quella,Gbenetuo,538,275,263,125
Nimba,Boe & Quilla,Quella,Marlay,2307,1122,1185,495
Nimba,Boe & Quilla,Quella,Toweh Town,2553,1273,1280,571
Nimba,Boe & Quilla,Quella,Zuatuo,2470,1275,1195,391
Nimba,Boe & Quilla,Sarlay,Sarlay,1046,523,523,180
Nimba,Buu-Yao,Frolay,Dinplay,2365,1160,1205,388
Nimba,Buu-Yao,Frolay,Frolay,1368,727,641,232
Nimba,Buu-Yao,Frolay,Tanwea,509,258,251,87
Nimba,Buu-Yao,Frolay,Wroulay,503,259,244,83
Nimba,Buu-Yao,Ninkwea,Gblarlay,717,352,365,124
Nimba,Buu-Yao,Ninkwea,Glarlay,1236,630,606,184
Nimba,Buu-Yao,Ninkwea,Gleelay,542,278,264,96
Nimba,Buu-Yao,Ninkwea,Teahplay (Buyealay),627,318,309,120
Nimba,Buu-Yao,Nyor,Buehplay # 1,625,308,317,130
Nimba,Buu-Yao,Nyor,Buutuo,1751,826,925,320
Nimba,Buu-Yao,Nyor,Gomahplay,994,526,468,164
Nimba,Buu-Yao,Nyor,Leaplay,532,276,256,70
Nimba,Buu-Yao,Nyor-Diabarlor,Barlorplay,537,263,274,95
Nimba,Buu-Yao,Nyor-Diabarlor,Butuo,1380,642,738,186
Nimba,Buu-Yao,Nyor-Diabarlor,Gbanwea,1049,540,509,151
Nimba,Buu-Yao,Nyor-Diabarlor,Nyor Diaplay,2107,1020,1087,279
Nimba,Buu-Yao,Vanwea,Lepula,1821,880,941,312
Nimba,Buu-Yao,Vanwea,Nanlah,693,345,348,150
Nimba,Buu-Yao,Vanwea,Tiaplay,950,485,465,196
Nimba,Buu-Yao,Wea,Banwea,1085,592,493,149
Nimba,Buu-Yao,Wea,Beadatuo,1377,699,678,259
Nimba,Buu-Yao,Wea,Beeplay,1580,771,809,278
Nimba,Buu-Yao,Wea,Glarlay New Town,1365,694,671,227
Nimba,Buu-Yao,Wea,Katoplay New Town,936,470,466,179
Nimba,Buu-Yao,Wea,Mahnplay,979,521,458,156
Nimba,Buu-Yao,Wea,Wea New Town,1334,644,690,214
Nimba,Buu-Yao,Yao-Kwahkerlah,Bearlay,865,418,447,143
Nimba,Buu-Yao,Yao-Kwahkerlah,Gbloulay,1893,944,949,261
Nimba,Buu-Yao,Yao-Kwahkerlah,Nyarlay,1464,774,690,241
Nimba,Buu-Yao,Yao-Kwahkerlah,Tahnplay,587,289,298,98
Nimba,Buu-Yao,Yao-Kwahkerlah,Zuaplay,596,318,278,83
Nimba,Doe,Gbear,Banliguea,525,279,246,116
Nimba,Doe,Gbear,Tappita City,9260,4512,4748,1917
Nimba,Doe,Gbear,Yreah,825,398,427,163
Nimba,Doe,Gblor,Gblor Diallah Town,1453,705,748,157
Nimba,Doe,Gbon-Weiplay,Kpeletuo,745,387,358,118
Nimba,Doe,Gbon-Weiplay,Ziah New,1599,833,766,307
Nimba,Doe,Gbon-Weiplay,Ziah Old,1162,601,561,232
Nimba,Doe,Gbon-Weiplay,Zuaplay,2452,1199,1253,481
Nimba,Doe,Gbon-Weiplay,Zuotuo,809,422,387,199
Nimba,Doe,Sehzuplay,Graie Township,2185,1090,1095,463
Nimba,Doe,Sehzuplay,Zuolay,2068,1053,1015,449
Nimba,Garr-Bain,Bain,Ganta,42077,20258,21819,7063
Nimba,Garr-Bain,Bain,Gbuyee,719,360,359,132
Nimba,Garr-Bain,Bain,Nengbain,515,254,261,92
Nimba,Garr-Bain,Bain,Nengbain,751,385,366,152
Nimba,Garr-Bain,Bleingbain,Mongbain,750,370,380,133
Nimba,Garr-Bain,Bleingbain,Whynor,808,415,393,134
Nimba,Garr-Bain,Bleingbain,Zuluyee,786,392,394,167
Nimba,Garr-Bain,Garr,Dingamon,743,362,381,131
Nimba,Garr-Bain,Garr,Dingamon,1589,735,854,286
Nimba,Garr-Bain,Garr,Gbasselah Town (New),1048,546,502,164
Nimba,Garr-Bain,Garr,Tondin,542,266,276,86
Nimba,Garr-Bain,Garr,Whipa,681,323,358,112
Nimba,Garr-Bain,Garr,Wuo's,937,423,514,185
Nimba,Gbehlay-Geh,Gbehlay,Karnplay,7989,3808,4181,1556
Nimba,Gbehlay-Geh,Gbehlay,Larpea # 2,832,408,424,146
Nimba,Gbehlay-Geh,Gbehlay,Manbor,535,244,291,105
Nimba,Gbehlay-Geh,Gbehlay,Old Peelar,798,384,414,155
Nimba,Gbehlay-Geh,Lan-Kao,Dulay,737,356,381,152
Nimba,Gbehlay-Geh,Lan-Kao,Gbarplay,592,299,293,104
Nimba,Gbehlay-Geh,Lan-Kao,Guagortuo,1470,761,709,332
Nimba,Gbehlay-Geh,Lan-Kao,Yeaplay,908,505,403,187
Nimba,Gbehlay-Geh,Sango-Zao,Duoplay,595,289,306,118
Nimba,Gbehlay-Geh,Sango-Zao,Duoplay,867,437,430,157
Nimba,Gbehlay-Geh,Sango-Zao,Kpantiaplay,1598,773,825,307
Nimba,Gbehlay-Geh,Sango-Zao,Nyoanplay,639,325,314,144
Nimba,Gbehlay-Geh,Sango-Zao,Younlay,1590,751,839,314
Nimba,Gbehlay-Geh,Sango-Zao,Zeanlay # 1,1011,500,511,152
Nimba,Gbehlay-Geh,Zor,Ganaglay,502,266,236,103
Nimba,Gbehlay-Geh,Zor,Zorgowee,1128,608,520,231
Nimba,Gbehlay-Geh,Zor,Zorlepula,1128,608,520,231
Nimba,Gbehlay-Geh,Zor,Zortarpa,914,439,475,184
Nimba,Gbehlay-Geh,Zor,Zualay,1203,590,613,219
Nimba,Gbi & Doru,Nyenvor,Glann Town,947,469,478,148
Nimba,Gbi & Doru,Nyenvor,Kidka,713,355,358,99
Nimba,Gbi & Doru,Telbawein,Dorgbor,607,312,295,127
Nimba,Gbor,Duobehyee,Fiaplay,614,307,307,114
Nimba,Gbor,Duobehyee,Rlantuo,895,449,446,167
Nimba,Gbor,Duobehyee,Wehplay,536,279,257,90
Nimba,Gbor,Duobehyee,Wehplay,636,300,336,125
Nimba,Gbor,Gbor,Devongbin,1061,528,533,174
Nimba,Gbor,Gbor,Korsein,703,340,363,88
Nimba,Gbor,Kerbaye,Kpayglay,672,332,340,87
Nimba,Gbor,Kerbaye,Payee,806,380,426,132
Nimba,Gbor,Kerbaye,Taylay,756,375,381,139
Nimba,Gbor,Zor-2,Gbahnwin,571,275,296,99
Nimba,Gbor,Zor-2,Sangarplay,506,240,266,109
Nimba,Gbor,Zor-2,Zuoplay,1588,773,815,311
Nimba,Kparblee,Behwah,Behwalay,871,411,460,163
Nimba,Kparblee,Behwah,New Yourpea,1765,836,929,296
Nimba,Kparblee,Bentuo,Beatuo,1808,895,913,346
Nimba,Kparblee,Bentuo,Old Yourpea,1224,608,616,201
Nimba,Kparblee,Bentuo,Tuzon,768,389,379,89
Nimba,Kparblee,Dubuzon,Dubuzon,501,239,262,79
Nimba,Kparblee,Dubuzon,Kaylay,586,284,302,99
Nimba,Kparblee,Gayea,Dewoblee (2),876,452,424,119
Nimba,Kparblee,Gayea,Kparblee,1465,745,720,161
Nimba,Kparblee,Gayea,Zodru,817,385,432,124
Nimba,Leewehpea-Mahn,Leepea,Buttein,677,345,332,131
Nimba,Leewehpea-Mahn,Leepea,Karnwee,1741,857,884,263
Nimba,Leewehpea-Mahn,Leepea,Kpeikpoa,777,394,383,145
Nimba,Leewehpea-Mahn,Leepea,Yarsonnoh,1154,577,577,193
Nimba,Leewehpea-Mahn,Sephein,Binda,700,350,350,136
Nimba,Leewehpea-Mahn,Sephein,Gbahn,1302,673,629,207
Nimba,Leewehpea-Mahn,Sephein,Kpeyee,532,303,229,138
Nimba,Leewehpea-Mahn,Sephein,Kpoahpa,537,277,260,92
Nimba,Leewehpea-Mahn,Sephein,Sehwee,801,409,392,109
Nimba,Leewehpea-Mahn,Siateh,Cocopa Camp 5,550,265,285,105
Nimba,Leewehpea-Mahn,Siateh,Cocopa Camp 6,991,522,469,186
Nimba,Leewehpea-Mahn,Siateh,Cocopa Camp 7,883,449,434,181
Nimba,Leewehpea-Mahn,Siateh,Cocopa Camp 8,559,317,242,97
Nimba,Leewehpea-Mahn,Siateh,Cocopa Camp I,883,477,436,148
Nimba,Leewehpea-Mahn,Siateh,Flumpa,1161,576,585,188
Nimba,Leewehpea-Mahn,Siateh,Gbayblin,1697,799,898,264
Nimba,Leewehpea-Mahn,Siateh,Gipo,2453,1240,1213,386
Nimba,Leewehpea-Mahn,Siateh,Lampa,852,418,434,126
Nimba,Leewehpea-Mahn,Yarpea,Dohn,703,354,349,104
Nimba,Leewehpea-Mahn,Yarpea,Guahn,577,302,275,96
Nimba,Leewehpea-Mahn,Yarpea,Kpallah,1554,802,752,208
Nimba,Leewehpea-Mahn,Yarpea,Zahnglesonaa,935,482,453,135
Nimba,Meinpea-Mahn,Gbotein,Galaymon,529,281,248,109
Nimba,Meinpea-Mahn,Meinboyee,Tinyee,834,468,366,151
Nimba,Meinpea-Mahn,Meinboyee,Yenkpalah,914,460,454,186
Nimba,Meinpea-Mahn,Slappa,Banakpallah,509,272,237,101
Nimba,Meinpea-Mahn,Slappa,Beipa,907,484,423,208
Nimba,Meinpea-Mahn,Slappa,Gblehyee,1061,537,524,225
Nimba,Meinpea-Mahn,Slappa,Tiasonnoh,532,263,269,90
Nimba,Meinpea-Mahn,Slappa,Tunudin,798,396,402,144
Nimba,Meinpea-Mahn,Slappa,Tunukpuyee,635,323,312,144
Nimba,Meinpea-Mahn,Slappa,Zarsonnoh,901,485,416,156
Nimba,Meinpea-Mahn,Slappa,Zoa,1283,645,638,211
Nimba,Meinpea-Mahn,Zahn,Banlah,2929,1420,1509,464
Nimba,Meinpea-Mahn,Zehyee,Bunadin,735,369,366,136
Nimba,Meinpea-Mahn,Zehyee,Kpein,1572,795,777,231
Nimba,Meinpea-Mahn,Zehyee,Tonwin,595,308,287,87
Nimba,Meinpea-Mahn,Zehyee,Tuudin,636,316,320,113
Nimba,Sanniquellie Mahn,Gboa,Central Davoryee,1056,533,523,153
Nimba,Sanniquellie Mahn,Gboa,Gbalasonnoh,1588,716,872,266
Nimba,Sanniquellie Mahn,Gboa,Kitoma,552,286,266,63
Nimba,Sanniquellie Mahn,Sehyi,Gbobayee #2,787,412,375,156
Nimba,Sanniquellie Mahn,Sehyi,Sanniquellie City,11854,5613,6241,2101
Nimba,Sanniquellie Mahn,Sehyi,Sehyi-Geh,1069,567,502,202
Nimba,Sanniquellie Mahn,Sehyi,Sehyi/Kimpa,568,286,282,77
Nimba,Sanniquellie Mahn,Sehyi,Sehyi/Kimpa,592,271,321,120
Nimba,Sanniquellie Mahn,Sehyi,Sehyi/Kimpa,606,304,302,112
Nimba,Sanniquellie Mahn,Sehyi,Sopeay,560,260,300,102
Nimba,Sanniquellie Mahn,Sehyi,Zolowee,2028,996,1032,341
Nimba,Twan River,Gborplay,Beo-Yoolar,1701,835,866,292
Nimba,Twan River,Gborplay,Central - Mansuaplay,560,277,283,92
Nimba,Twan River,Gborplay,Gbehlay,748,370,378,145
Nimba,Twan River,Gborplay,Gborplay,832,415,417,155
Nimba,Twan River,Gborplay,Geanplay,1249,620,629,184
Nimba,Twan River,Gborplay,Ghanaglay,585,279,306,91
Nimba,Twan River,Gborplay,Lontuo(Central),1052,526,526,247
Nimba,Twan River,Gborplay,Teahzaygbeplay,911,456,455,155
Nimba,Twan River,Loe-Gbao,Blemieplay,2012,1009,1003,305
Nimba,Twan River,Loe-Gbao,Bongarplay,1567,811,756,223
Nimba,Twan River,Loe-Gbao,Bouannay,955,474,481,133
Nimba,Twan River,Loe-Gbao,Nyoanplay # 1,807,406,401,167
Nimba,Twan River,Loe-Gbao,Tartuo,584,289,295,106
Nimba,Twan River,Lower-Gbei,Blittuo,521,259,262,99
Nimba,Twan River,Lower-Gbei,Gbei Vonwea,1393,690,703,233
Nimba,Twan River,Lower-Gbei,Gbonwea (Old Town),971,501,470,175
Nimba,Twan River,Lower-Gbei,Tekeiplay,778,391,387,140
Nimba,Twan River,Soelay,Kpairplay,1543,732,811,258
Nimba,Twan River,Soelay,Lowlay,664,314,350,123
Nimba,Twan River,Soelay,Slangonplay,748,379,369,116
Nimba,Twan River,Srohlay,Behplay,1924,956,968,293
Nimba,Twan River,Srohlay,Garplay,1756,835,921,323
Nimba,Twan River,Srohlay,Mahdiaplay,1525,777,748,251
Nimba,Twan River,Upper-Gbei,Gbei Bonnah,818,412,406,136
Nimba,Twan River,Upper-Gbei,Sergeant (Old Town),509,252,257,84
Nimba,Twan River,Wealay,Senlay,1708,858,850,326
Nimba,Twan River,Wealay,Vayenglay,1632,815,817,320
Nimba,Wee-Gbehyi-Mahn,Borpea,Fleedin,581,287,294,117
Nimba,Wee-Gbehyi-Mahn,Borpea,Garwonpa,1005,478,527,138
Nimba,Wee-Gbehyi-Mahn,Borpea,Tengbein,659,331,328,93
Nimba,Wee-Gbehyi-Mahn,Lowee,Duoyee,1186,583,603,220
Nimba,Wee-Gbehyi-Mahn,Lowee,Nyeanyee,661,321,340,103
Nimba,Wee-Gbehyi-Mahn,Wee,Doumpa,752,338,414,145
Nimba,Wee-Gbehyi-Mahn,Wee,Gaopa,521,266,255,76
Nimba,Wee-Gbehyi-Mahn,Wee,Gbanquoi,532,269,263,93
Nimba,Wee-Gbehyi-Mahn,Wee,Gbanquoi,601,291,310,84
Nimba,Wee-Gbehyi-Mahn,Wee,Gonkartee Pa,727,353,374,112
Nimba,Wee-Gbehyi-Mahn,Wee,Kpaytuo,663,319,344,114
Nimba,Wee-Gbehyi-Mahn,Wee,Loyee,676,329,347,125
Nimba,Wee-Gbehyi-Mahn,Wee,Nyao,781,375,406,125
Nimba,Wee-Gbehyi-Mahn,Ylan,Bueh Town,1134,574,560,156
Nimba,Wee-Gbehyi-Mahn,Ylan,Gbanlah,696,371,325,144
Nimba,Wee-Gbehyi-Mahn,Ylan,Mehnpa,1919,904,1015,339
Nimba,Wee-Gbehyi-Mahn,Ylan,Saclepea,13765,6620,7145,2550
Nimba,Yarmein,Gbar,Bonla,1673,889,784,184
Nimba,Yarmein,Gbar,Gbarpa,2048,1043,1005,345
Nimba,Yarmein,Gbeleyee,Gbeleyee,2527,1219,1308,266
Nimba,Yarmein,Gbeleyee,Yekepa,8439,4378,4061,1619
Nimba,Yarmein,Gbeyi,Beintorwin,1112,561,551,181
